ComponentType,Node Count,Tick Count,Success Count,Failure Count,BT Ticks,,,,,,
BTDecorator_DynamicPlanningComplete,120,665,311,354,N/A,,,,,,
BTDecorator_LowestCostExecution,120,311,239,72,N/A,,,,,,
BTDecorator_PlanningComplete,124,1340,1336,4,N/A,,,,,,
BTFlowNode_ALLFLOW,1,785,1,0,N/A,,,,,,
BTFlowNode_ALLACTION,124,1340,130,856,N/A,,,,,,
BTService_PlanningPhaseManager,1,785,785,0,N/A,,,,,,
CallPDDLPlanner,124,1340,1340,0,N/A,,,,,,
SubtreeInjectionService,2081,904,904,0,N/A,,,,,,
GenericBTAction,2081,904,359,426,N/A,,,,,,
TOTAL,4897,8374,5405,1712,785,,,,,,
,,,,,,,,,,,
ComponentType,InstanceCount,TickCount,SuccessCount,FailureCount,,,,,,,
Decorators,364,2316,1886,430,,,,,,,
FlowNodes,125,2125,131,856,,,,,,,
actions,2081,904,359,426,,,,,,,
Services,2206,3148,2603,426,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
NodeType,Total Ticks,"Average Services
 Time (Ms)","AverageDecorators 
Time (Ms)","AverageNodeLogic
Time (Ms)","AverageChildren
Time (Ms)","Average Total Tick 
TimeMs",TotalServicesTimeMs,TotalDecoratorsTimeMs,TotalNodeLogicTimeMs,TotalChildrenTimeMs,TotalTickTimeMs
BTFlowNode_ALLFLOW,785,5.59,1.21,2889.71,0.45,2896.96,4389.96,947.12,2268425.32,350.4,2274113.11
BTFlowNode_ALLACTION_HL,239,3.53,2.53,2.62,2117.72,2126.41,844.77,605.81,625.68,506135.36,508211.73
BTFlowNode_ALLACTION_ML,239,578.04,7.46,2.13,506,1093.64,138151.12,1783.95,508.75,120934.96,261380.02
GenericBTAction,478,293.99,0.86,797.25,104.43,1196.52,140525.87,408.73,381084.87,49916.86,571936.62
TOTAL,1741,163.07,2.15,1522.48,389.05,2076.76,283911.72,3745.61,2650644.62,677337.58,3615641.49
