ComponentType,InstanceCount,TickCount,SuccessCount,FailureCount,AdditionCount
BTDecorator_DynamicPlanningComplete,30,89,89,0,30
BTDecorator_LowestCostExecution,30,89,89,0,30
BTDecorator_PlanningComplete,31,179,178,1,31
BTFlowNode_Composite,32,92,1,0,32
BTFlowNode_Dynamic,31,179,31,1,31
BTService_PlanningPhaseManager,1,92,92,0,1
CallGOAPPlanner,0,0,0,0,0
CallPDDLPlanner,31,179,179,0,31
CallSCPlanner,0,0,0,0,0
GenericBTAction,119,178,119,0,119
SubtreeInjectionService,119,178,178,0,119
TOTAL,424,1255,956,2,424
