Category,Count,BeforeTicking,AfterTicking,GenerationTimeMs,MostCommonInstance,MostCommonCount
PredicateTypes,18,18,0,0.00,N/A,0
ActionTypes,18,18,0,0.00,N/A,0
ParameterTypes,12,12,0,0.00,N/A,0
ActionInstances,555,4,555,0.38,TravelML,238
ParameterInstances,74,84,0,0.00,Location,41
PredicateInstances,307,121,0,0.00,atplace,64
PredicateNegationCount,379,0,0,0.00,N/A,0
atAgent,1,1,0,0.00,atAgent,1
atplace,64,32,0,0.00,atplace,64
atTool,3,3,0,0.00,atTool,3
belongstolayer,24,24,0,0.00,belongstolayer,24
belongstomodule,24,24,0,0.00,belongstomodule,24
clear,32,32,0,0.00,clear,32
positionfree,7,4,0,0.00,positionfree,7
vgempty,1,1,0,0.00,vgempty,1
