NodeType,TotalTicks,AverageServicesTimeMs,AverageDecoratorsTimeMs,AverageNodeLogicTimeMs,AverageChildrenTimeMs,AverageTotalTickTimeMs,TotalServicesTimeMs,TotalDecoratorsTimeMs,TotalNodeLogicTimeMs,TotalChildrenTimeMs,TotalTickTimeMs
BTFlowNode_Composite,789,4.77,1.13,3180.16,0.54,3186.60,3766.18,892.54,2509143.39,427.62,2514230.22
BTFlowNode_Dynamic_CallPDDLPlanner,486,409.65,5.11,2.50,1029.56,1446.82,199089.22,2484.36,1216.96,500365.46,703156.27
CloseToolML,6,5.91,1.16,72.22,0.34,79.62,35.44,6.97,433.32,2.02,477.75
DeequipML,6,6.42,0.98,87.05,0.20,94.65,38.53,5.89,522.32,1.18,567.93
EquipeML,7,4.33,0.74,67.98,0.20,73.25,30.29,5.20,475.84,1.38,512.72
GluingBeamHL,34,58.93,1.29,717.20,0.25,777.67,2003.66,43.85,24384.72,8.62,26440.87
GluingML,28,6.51,1.07,101.59,0.30,109.47,182.15,30.06,2844.46,8.45,3065.14
GluingPLateHL,14,23.50,0.66,1064.61,0.18,1088.96,329.00,9.24,14904.55,2.59,15245.38
InitializeML,7,5.36,1.02,60.91,0.27,67.56,37.53,7.12,426.39,1.90,472.94
NailingHL,48,2000.99,1.25,1895.69,0.22,3898.14,96047.32,59.83,90993.31,10.40,187110.89
NailingML,28,5.68,1.26,63.34,0.18,70.46,158.97,35.34,1773.40,5.06,1972.79
PickUpHL,79,41.23,1.08,1852.73,0.29,1895.33,3256.96,85.07,146365.71,23.23,149731.01
PickUpML,32,5.63,1.05,69.80,0.19,76.67,180.08,33.53,2233.71,5.94,2453.30
PlaceHL,10,28.91,0.75,85.64,0.16,115.46,289.13,7.46,856.39,1.62,1154.60
PlaceML,4,4.55,0.67,47.36,0.12,52.70,18.19,2.70,189.42,0.47,210.78
StackHL,48,32.66,0.94,113.40,0.21,147.22,1567.90,45.17,5443.38,9.98,7066.46
StackML,28,5.66,1.01,87.27,0.25,94.18,158.36,28.20,2443.54,6.89,2637.00
StackonmultipleHL,10,62.70,1.32,209.59,0.34,273.96,627.00,13.24,2095.94,3.36,2739.56
TravelML,97,5.11,0.94,62.80,0.19,69.04,495.35,91.45,6091.81,18.26,6696.91
TOTAL,1761,175.08,2.21,1597.30,284.44,2059.02,308311.26,3887.20,2812838.57,500904.42,3625942.52

=== DYNAMIC FLOW NODE SUMMARY BY PLANNER ===
BTFlowNode_Dynamic_CallPDDLPlanner_SUMMARY,486,409.65,5.11,2.50,1029.56,1446.82,199089.22,2484.36,1216.96,500365.46,703156.27
